FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.105,0.004,25.72904022293516,35.12092807928542,27.187161116065486,0.645
0.105,0.005,27.575761406545723,36.300517346851294,28.905464161316857,0.645
0.105,0.010263157894736842,34.051110586224965,46.21636000882852,34.99053718488994,0.645
0.105,0.013000000000000001,35.88845947967248,49.41298746093061,36.89083773707324,0.645
0.105,0.015526315789473683,37.62101749942503,49.547167999439466,38.32219811008193,0.645
0.105,0.020789473684210528,39.92107588100017,53.26207884273896,40.428106297514304,0.645
0.105,0.022000000000000002,40.69278036535412,56.512752701933195,41.17089418692955,0.645
0.105,0.02605263157894737,41.640870000268194,55.232247157474205,42.30084656536416,0.645
0.105,0.031000000000000003,43.65521636268477,59.38223526987919,44.1892318551255,0.645
0.105,0.03131578947368421,43.72161748670355,59.261754735011806,44.240682687352894,0.645
0.105,0.03657894736842105,45.10871424145341,60.628681784213015,45.4554443782707,0.645
0.105,0.04,45.82182942505647,58.59009423230826,46.33835755938282,0.645
0.105,0.04184210526315789,46.15405697172708,61.31071132129813,46.55181392666783,0.645
0.105,0.04710526315789473,47.288645343685936,59.93853270477331,47.70348653492981,0.645
0.105,0.05236842105263158,47.931386908139956,58.87218909894449,48.45500321738935,0.645
0.105,0.057631578947368416,48.88643596651582,64.0287580411359,49.252206153697,0.645
0.105,0.06289473684210527,49.749367518005066,66.95777168482145,50.03990845453628,0.645
0.105,0.06815789473684211,50.39645052503723,67.84432183656914,50.66782307433449,0.645
0.105,0.07342105263157896,51.1457638539589,65.91798953003513,51.41578332174329,0.645
0.105,0.07868421052631579,51.47993473289927,61.83562526749286,52.07827819518327,0.645
0.105,0.08394736842105263,52.04680690166889,66.09749881868296,52.472216542403046,0.645
0.105,0.08921052631578948,52.50480823215149,64.8488688832935,53.04739351895669,0.645
0.105,0.09447368421052632,52.3367454563521,64.5466235348808,53.30196248280007,0.645
0.105,0.09973684210526317,52.302423854281635,60.32313542614229,53.68777243146965,0.645
0.105,0.09974999999999999,52.25148500259045,60.21103413864506,53.65156125785429,0.645
0.105,0.105,51.8028685247652,57.263099176412965,54.31694119072872,0.645
0.105,0.1155,29.421513130221214,31.99955370738985,49.275477345052394,0.645
