Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11
-0.000391000,1,0,1,0,0,0,1,0,1,0,1,0
-0.000004000,0,0,0,0,0,0,0,0,0,0,0,0
0.000000000,1,0,1,0,0,1,0,0,1,0,1,0
0.000079000,1,0,1,0,0,1,0,0,1,0,1,1
0.000579000,1,0,1,0,0,1,0,0,1,0,1,0
0.000995000,1,0,1,0,0,1,0,0,1,0,0,0
0.000996000,0,0,0,0,0,0,0,0,0,0,0,0
0.001000000,1,0,0,1,0,0,0,0,1,0,1,0
0.001079000,1,0,0,1,0,0,0,0,1,0,1,1
0.001579000,1,0,0,1,0,0,0,0,1,0,1,0
0.001995000,1,0,0,1,0,0,0,0,1,0,0,0
0.001996000,0,0,0,0,0,0,0,0,0,0,0,0
0.002000000,1,1,1,1,0,1,1,1,0,0,1,0
0.002079000,1,1,1,1,0,1,1,1,0,0,1,1
0.002579000,1,1,1,1,0,1,1,1,0,0,1,0
0.002995000,1,1,1,1,0,1,1,1,0,0,0,0
0.002996000,0,0,0,0,0,0,0,0,0,0,0,0
0.003000000,1,1,0,0,1,0,1,1,0,0,1,0
0.003079000,1,1,0,0,1,0,1,1,0,0,1,1
0.003579000,1,1,0,0,1,0,1,1,0,0,1,0
0.003995000,1,1,0,0,1,0,1,1,0,0,0,0
0.003996000,0,0,0,0,0,0,0,0,0,0,0,0
0.004000000,0,1,0,1,1,1,0,1,0,0,1,0
0.004079000,0,1,0,1,1,1,0,1,0,0,1,1
0.004579000,0,1,0,1,1,1,0,1,0,0,1,0
0.004995000,0,0,0,1,0,0,0,0,0,0,1,0
0.004996000,0,0,0,0,0,0,0,0,0,0,0,0
0.005000000,0,1,0,0,0,1,0,1,0,0,1,0
0.005079000,0,1,0,0,0,1,0,1,0,0,1,1
0.005579000,0,1,0,0,0,1,0,1,0,0,1,0
0.005995000,0,0,0,0,0,0,0,0,0,0,0,0
0.006000000,0,1,1,1,0,0,0,1,0,0,1,0
0.006079000,0,1,1,1,0,0,0,1,0,0,1,1
0.006579000,0,1,1,1,0,0,0,1,0,0,1,0
0.006995000,0,0,0,0,0,0,0,0,0,0,0,0
0.007000000,1,0,1,1,1,1,1,0,0,0,1,0
0.007079000,1,0,1,1,1,1,1,0,0,0,1,1
0.007579000,1,0,1,1,1,1,1,0,0,0,1,0
0.007995000,0,0,0,0,0,0,0,0,0,0,0,0
0.008000000,0,1,1,0,0,1,1,0,0,0,1,0
0.008079000,0,1,1,0,0,1,1,0,0,0,1,1
0.008579000,0,1,1,0,0,1,1,0,0,0,1,0
0.008995000,0,0,0,0,0,0,0,0,0,0,0,0
0.009000000,0,0,0,0,1,0,1,0,0,0,1,0
0.009079000,0,0,0,0,1,0,1,0,0,0,1,1
0.009579000,0,0,0,0,1,0,1,0,0,0,1,0
0.009995000,0,0,0,0,0,0,0,0,0,0,0,0
0.010000000,0,0,0,1,0,0,1,0,0,0,1,0
0.010079000,0,0,0,1,0,0,1,0,0,0,1,1
0.010579000,0,0,0,1,0,0,1,0,0,0,1,0
0.010995000,0,0,0,0,0,0,0,0,0,0,0,0
0.011000000,1,1,1,0,1,1,0,0,0,0,1,0
0.011079000,1,1,1,0,1,1,0,0,0,0,1,1
0.011579000,1,1,1,0,1,1,0,0,0,0,1,0
0.011995000,0,0,0,0,0,0,0,0,0,0,0,0
0.012000000,1,1,0,1,0,1,0,0,0,0,1,0
0.012079000,1,1,0,1,0,1,0,0,0,0,1,1
0.012579000,1,1,0,1,0,1,0,0,0,0,1,0
0.012995000,0,0,0,0,0,0,0,0,0,0,0,0
0.013000000,0,1,1,1,1,0,0,0,0,0,1,0
0.013079000,0,1,1,1,1,0,0,0,0,0,1,1
0.013579000,0,1,1,1,1,0,0,0,0,0,1,0
0.013995000,0,0,0,0,0,0,0,0,0,0,0,0
0.014000000,1,1,1,0,1,0,0,0,0,0,1,0
0.014079000,1,1,1,0,1,0,0,0,0,0,1,1
0.014579000,1,1,1,0,1,0,0,0,0,0,1,0
0.014995000,0,0,0,0,0,0,0,0,0,0,0,0
0.015000000,1,0,1,1,0,0,0,0,0,0,1,0
0.015079000,1,0,1,1,0,0,0,0,0,0,1,1
0.015579000,1,0,1,1,0,0,0,0,0,0,1,0
0.015995000,0,0,0,0,0,0,0,0,0,0,0,0
0.016000000,0,1,1,1,0,0,0,0,0,0,1,0
0.016079000,0,1,1,1,0,0,0,0,0,0,1,1
0.016579000,0,1,1,1,0,0,0,0,0,0,1,0
0.016995000,0,0,0,0,0,0,0,0,0,0,0,0
0.017000000,1,1,0,1,0,0,0,0,0,0,1,0
0.017079000,1,1,0,1,0,0,0,0,0,0,1,1
0.017579000,1,1,0,1,0,0,0,0,0,0,1,0
0.017995000,0,0,0,0,0,0,0,0,0,0,0,0
0.018000000,1,1,0,1,0,0,0,0,0,0,1,0
0.018079000,1,1,0,1,0,0,0,0,0,0,1,1
0.018579000,1,1,0,1,0,0,0,0,0,0,1,0
0.018995000,0,0,0,0,0,0,0,0,0,0,0,0
0.019000000,0,1,1,0,0,0,0,0,0,0,1,0
0.019079000,0,1,1,0,0,0,0,0,0,0,1,1
0.019579000,0,1,1,0,0,0,0,0,0,0,1,0
0.019995000,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,1,1,0,1,0,0,0,0,0,0,1,0
0.020079000,1,1,0,1,0,0,0,0,0,0,1,1
0.020579000,1,1,0,1,0,0,0,0,0,0,1,0
0.020995000,0,0,0,0,0,0,0,0,0,0,0,0
0.021000000,0,1,0,0,1,0,0,0,0,0,1,0
0.021079000,0,1,0,0,1,0,0,0,0,0,1,1
0.021579000,0,1,0,0,1,0,0,0,0,0,1,0
0.021995000,0,0,0,0,0,0,0,0,0,0,0,0
0.022000000,0,1,1,0,1,0,0,0,0,0,1,0
0.022079000,0,1,1,0,1,0,0,0,0,0,1,1
0.022579000,0,1,1,0,1,0,0,0,0,0,1,0
0.022995000,0,0,0,0,0,0,0,0,0,0,0,0
0.023000000,0,1,0,0,0,1,0,0,0,0,1,0
0.023079000,0,1,0,0,0,1,0,0,0,0,1,1
0.023579000,0,1,0,0,0,1,0,0,0,0,1,0
0.023995000,0,0,0,0,0,0,0,0,0,0,0,0
0.024000000,1,1,0,1,0,1,0,0,0,0,1,0
0.024079000,1,1,0,1,0,1,0,0,0,0,1,1
0.024579000,1,1,0,1,0,1,0,0,0,0,1,0
0.024995000,0,0,0,0,0,0,0,0,0,0,0,0
0.025000000,1,1,1,0,1,1,0,0,0,0,1,0
0.025079000,1,1,1,0,1,1,0,0,0,0,1,1
0.025579000,1,1,1,0,1,1,0,0,0,0,1,0
0.025995000,0,0,0,0,0,0,0,0,0,0,0,0
0.026000000,0,0,0,0,0,0,1,0,0,0,1,0
0.026079000,0,0,0,0,0,0,1,0,0,0,1,1
0.026579000,0,0,0,0,0,0,1,0,0,0,1,0
0.026995000,0,0,0,0,0,0,0,0,0,0,0,0
0.027000000,1,1,1,0,1,0,1,0,0,0,1,0
0.027079000,1,1,1,0,1,0,1,0,0,0,1,1
0.027579000,1,1,1,0,1,0,1,0,0,0,1,0
0.027995000,0,0,0,0,0,0,0,0,0,0,0,0
0.028000000,0,0,0,1,0,1,1,0,0,0,1,0
0.028079000,0,0,0,1,0,1,1,0,0,0,1,1
0.028579000,0,0,0,1,0,1,1,0,0,0,1,0
0.028995000,0,0,0,0,0,0,0,0,0,0,0,0
0.029000000,0,1,0,1,1,1,1,0,0,0,1,0
0.029079000,0,1,0,1,1,1,1,0,0,0,1,1
0.029579000,0,1,0,1,1,1,1,0,0,0,1,0
0.029995000,0,0,0,0,0,0,0,0,0,0,0,0
0.030000000,0,0,0,0,1,0,0,1,0,0,1,0
0.030079000,0,0,0,0,1,0,0,1,0,0,1,1
0.030579000,0,0,0,0,1,0,0,1,0,0,1,0
0.030995000,0,0,0,0,0,0,0,0,0,0,0,0
0.031000000,1,0,1,0,0,1,0,1,0,0,1,0
0.031079000,1,0,1,0,0,1,0,1,0,0,1,1
0.031579000,1,0,1,0,0,1,0,1,0,0,1,0
0.031995000,0,0,0,0,0,0,0,0,0,0,0,0
0.032000000,1,0,1,1,1,1,0,1,0,0,1,0
0.032079000,1,0,1,1,1,1,0,1,0,0,1,1
0.032579000,1,0,1,1,1,1,0,1,0,0,1,0
0.032995000,0,0,0,0,0,0,0,0,0,0,0,0
0.033000000,0,1,1,0,1,0,1,1,0,0,1,0
0.033079000,0,1,1,0,1,0,1,1,0,0,1,1
0.033579000,0,1,1,0,1,0,1,1,0,0,1,0
0.033995000,0,0,0,0,0,0,0,0,0,0,0,0
0.034000000,0,0,0,1,1,1,1,1,0,0,1,0
0.034079000,0,0,0,1,1,1,1,1,0,0,1,1
0.034579000,0,0,0,1,1,1,1,1,0,0,1,0
0.034995000,0,0,0,0,0,0,0,0,0,0,0,0
0.035000000,1,1,1,1,0,0,0,0,1,0,1,0
0.035079000,1,1,1,1,0,0,0,0,1,0,1,1
0.035579000,1,1,1,1,0,0,0,0,1,0,1,0
0.035995000,0,0,0,0,0,0,0,0,0,0,0,0
0.036000000,1,0,0,1,0,1,0,0,1,0,1,0
0.036079000,1,0,0,1,0,1,0,0,1,0,1,1
0.036579000,1,0,0,1,0,1,0,0,1,0,1,0
0.036995000,0,0,0,0,0,0,0,0,0,0,0,0
0.037000000,0,0,1,0,0,0,1,0,1,0,1,0
0.037079000,0,0,1,0,0,0,1,0,1,0,1,1
0.037579000,0,0,1,0,0,0,1,0,1,0,1,0
0.037995000,0,0,0,0,0,0,0,0,0,0,0,0
0.038000000,1,0,0,1,0,1,1,0,1,0,1,0
0.038079000,1,0,0,1,0,1,1,0,1,0,1,1
0.038579000,1,0,0,1,0,1,1,0,1,0,1,0
0.038995000,0,0,0,0,0,0,0,0,0,0,0,0
0.039000000,1,1,1,1,1,1,1,0,1,0,1,0
0.039079000,1,1,1,1,1,1,1,0,1,0,1,1
0.039579000,1,1,1,1,1,1,1,0,1,0,1,0
0.039995000,0,0,0,0,0,0,0,0,0,0,0,0
0.040000000,0,1,1,1,1,0,0,1,1,0,1,0
0.040079000,0,1,1,1,1,0,0,1,1,0,1,1
0.040579000,0,1,1,1,1,0,0,1,1,0,1,0
0.040995000,0,0,0,0,0,0,0,0,0,0,0,0
0.041000000,1,0,0,0,0,0,1,1,1,0,1,0
0.041079000,1,0,0,0,0,0,1,1,1,0,1,1
0.041579000,1,0,0,0,0,0,1,1,1,0,1,0
0.041995000,0,0,0,0,0,0,0,0,0,0,0,0
0.042000000,1,1,1,1,1,0,1,1,1,0,1,0
0.042079000,1,1,1,1,1,0,1,1,1,0,1,1
0.042579000,1,1,1,1,1,0,1,1,1,0,1,0
0.042995000,0,0,0,0,0,0,0,0,0,0,0,0
0.043000000,1,0,1,1,1,1,1,1,1,0,1,0
0.043079000,1,0,1,1,1,1,1,1,1,0,1,1
0.043579000,1,0,1,1,1,1,1,1,1,0,1,0
0.043995000,0,0,0,0,0,0,0,0,0,0,0,0
0.044000000,0,0,0,0,0,1,0,0,0,1,1,0
0.044079000,0,0,0,0,0,1,0,0,0,1,1,1
0.044579000,0,0,0,0,0,1,0,0,0,1,1,0
0.044995000,0,0,0,0,0,0,0,0,0,0,0,0
0.045000000,1,1,0,0,0,0,1,0,0,1,1,0
0.045078000,1,1,0,0,0,0,1,0,0,1,1,1
0.045578000,1,1,0,0,0,0,1,0,0,1,1,0
0.045995000,0,0,0,0,0,0,0,0,0,0,0,0
0.046000000,0,1,0,1,1,0,1,0,0,1,1,0
0.046078000,0,1,0,1,1,0,1,0,0,1,1,1
0.046578000,0,1,0,1,1,0,1,0,0,1,1,0
0.046995000,0,0,0,0,0,0,0,0,0,0,0,0
0.047000000,0,0,1,1,1,1,1,0,0,1,1,0
