Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.000113000,0,0,1,0
0.001426800,0,0,1,1
0.002096900,0,1,1,1
0.002326500,0,1,0,1
0.002703900,1,1,0,1
0.003012500,0,1,0,1
0.003183500,0,1,0,0
0.004765300,0,1,1,0
0.005317400,0,0,1,0
0.005617000,0,0,1,1
0.005715100,1,0,1,1
0.006007700,1,1,1,1
0.007212400,0,1,1,1
0.007379300,0,1,1,0
0.007413200,0,1,0,0
0.007571300,1,1,0,0
0.007634600,1,1,1,0
0.008935100,1,1,1,1
0.009224400,1,0,1,1
0.009661200,1,1,1,1
0.010562700,1,1,0,1
0.010580900,0,1,0,1
0.010658400,1,1,0,1
0.011026800,1,1,0,0
0.011531600,1,1,1,0
0.012090800,1,0,1,0
0.012229000,1,1,1,0
0.012324600,1,1,1,1
0.012582500,0,1,1,1
0.013565200,1,1,1,1
0.013975900,1,1,0,1
0.014161800,1,0,0,1
0.014416400,1,0,1,1
0.014668900,1,0,1,0
0.014750400,0,0,1,0
0.014916600,0,1,1,0
0.015512500,0,1,0,0
0.015749500,0,0,0,0
0.016122500,0,0,0,1
0.016585500,1,0,0,1
0.016882000,1,0,1,1
0.017485600,0,0,1,1
0.017579800,0,1,1,1
0.017731700,0,1,0,1
0.018184500,0,1,0,0
0.018333300,0,1,1,0
0.018651600,0,0,1,0
0.018659400,0,0,1,1
0.018768800,0,1,1,1
0.019024200,0,1,0,1
0.019327300,1,1,0,1
0.019889100,1,1,0,0
0.020013700,1,1,1,0
0.020126300,0,1,1,0
0.020695500,0,1,1,1
0.021282100,0,0,1,1
0.021485700,1,0,1,1
0.021691600,1,1,1,1
0.022150500,1,1,1,0
0.022802800,1,1,0,0
0.023088500,0,1,0,0
0.023350700,0,1,1,0
0.023386000,0,1,1,1
0.023455700,0,0,1,1
0.024249400,0,1,1,1
0.024294700,0,1,1,0
0.024543700,0,1,0,0
0.024998100,1,1,0,0
0.025250300,1,0,0,0
0.025451200,1,0,1,0
0.026020000,1,0,1,1
0.026134600,0,0,1,1
0.027325700,0,0,0,1
0.028018900,1,0,0,1
0.028065000,1,0,0,0
0.028414000,1,0,1,0
0.028486600,1,1,1,0
0.028990100,1,1,0,0
0.029686000,1,0,0,0
0.030922200,1,0,0,1
0.031090900,0,0,0,1
0.031205700,1,0,0,1
0.031348900,1,0,1,1
0.031963200,1,1,1,1
0.032903500,0,1,1,1
0.032947600,0,1,0,1
0.033313800,0,1,0,0
0.033369800,0,1,1,0
0.034436200,0,1,0,0
0.034640000,0,1,0,1
0.035165000,0,0,0,1
0.035677400,1,0,0,1
0.035872700,1,0,0,0
0.035970000,1,0,1,0
0.037553300,0,0,1,0
0.037814000,1,0,1,0
0.038123000,1,0,1,1
0.038418400,1,1,1,1
0.038782400,1,1,0,1
0.039000300,1,1,1,1
0.040208600,1,1,1,0
0.040552300,1,1,0,0
0.040670400,0,1,0,0
0.041336700,0,0,0,0
0.041616700,1,0,0,0
0.041954800,1,0,1,0
0.042234000,1,1,1,0
0.042499200,1,1,1,1
0.042762600,1,1,0,1
0.044182700,1,0,0,1
0.044726900,1,1,0,1
0.044789100,1,1,0,0
0.044844500,0,1,0,0
0.044881800,1,1,0,0
0.045388700,1,1,1,0
0.046007900,1,1,0,0
0.046709500,1,1,1,0
0.046833500,0,1,1,0
0.047355400,0,0,1,0
0.047428200,1,0,1,0
0.047938000,1,0,1,1
0.047952000,1,0,1,0
0.048981100,1,0,0,0
0.049526200,0,0,0,0
0.049556500,0,1,0,0
0.050707900,0,1,0,1
0.051704500,0,1,1,1
0.051706100,0,0,1,1
0.052802600,1,0,1,1
0.053142600,1,0,0,1
0.053299100,1,0,1,1
0.053859200,1,0,1,0
0.053920200,1,1,1,0
0.055405300,1,1,0,0
0.055490300,1,0,0,0
0.055774400,0,0,0,0
0.056075900,1,0,0,0
0.056291400,1,0,0,1
0.057018800,1,1,0,1
0.057076000,0,1,0,1
0.057356300,0,1,1,1
0.057565300,1,1,1,1
0.057856400,1,1,1,0
0.059030400,1,1,0,0
0.059153300,1,1,0,1
0.059573800,1,0,0,1
0.059597300,0,0,0,1
0.059697600,0,0,1,1
0.060391400,0,1,1,1
0.060926200,0,1,1,0
0.061077600,1,1,1,0
0.062548000,1,1,1,1
0.062623200,1,1,0,1
0.063123800,1,0,0,1
0.063465100,0,0,0,1
0.063684300,1,0,0,1
0.064255400,0,0,0,1
0.065170300,0,1,0,1
0.065394100,0,1,0,0
0.065737900,0,1,1,0
0.066110000,1,1,1,0
0.066855000,0,1,1,0
0.066941500,0,1,0,0
0.067144600,0,1,0,1
0.067457600,0,0,0,1
0.068395600,0,1,0,1
0.068583500,0,1,1,1
0.069505400,0,1,0,1
0.069857300,1,1,0,1
0.069868400,1,0,0,1
0.069952100,1,1,0,1
0.070148100,1,1,0,0
0.071566800,1,0,0,0
0.072049800,1,0,0,1
0.072242300,1,0,0,0
0.072476600,1,0,1,0
0.072842600,0,0,1,0
0.072843300,1,0,1,0
0.073485500,1,1,1,0
0.074017300,1,0,1,0
0.074813200,0,0,1,0
0.074848600,0,0,1,1
0.074931100,0,0,0,1
0.076000800,0,1,0,1
0.076046300,0,1,1,1
0.077245500,1,1,1,1
0.077789600,1,1,1,0
0.078310100,1,1,0,0
0.079164900,1,0,0,0
0.079872200,1,0,1,0
0.079940600,1,0,1,1
0.079947700,0,0,1,1
0.080879900,0,1,1,1
0.081665200,0,0,1,1
0.082621400,1,0,1,1
0.082646500,1,0,1,0
0.083139800,1,0,0,0
0.083499600,1,0,1,0
0.084012300,1,0,1,1
0.084353700,1,1,1,1
0.084389900,1,1,0,1
0.084467500,1,1,0,0
0.085629900,0,1,0,0
0.086732800,0,1,0,1
0.086816300,0,0,0,1
0.087300200,0,1,0,1
0.087510100,0,1,1,1
0.087532800,1,1,1,1
0.087679600,0,1,1,1
0.088496300,0,0,1,1
0.088650800,1,0,1,1
0.089030100,1,0,1,0
0.089080200,1,1,1,0
0.089482000,1,1,0,0
0.089887900,1,1,1,0
0.090995800,1,1,1,1
0.091136800,1,1,1,0
0.091597400,1,1,1,1
0.091700000,1,1,0,1
0.091887500,0,1,0,1
0.092106800,0,0,0,1
0.092805400,0,0,1,1
0.094289500,0,1,1,1
0.094469800,0,0,1,1
0.094624500,0,1,1,1
0.094695500,0,1,1,0
0.094982800,1,1,1,0
0.095007500,1,0,1,0
0.095084100,1,0,0,0
0.096053900,1,1,0,0
0.096305100,1,1,0,1
0.096872700,1,0,0,1
0.098101300,0,0,0,1
0.098264500,0,0,1,1
0.098460400,1,0,1,1
0.098684100,1,0,1,0
0.099546600,1,1,1,0
0.100500200,1,1,0,0
0.100661700,0,1,0,0
0.100696200,0,0,0,0
0.101557900,0,0,0,1
0.101575800,0,0,1,1
0.102945800,1,0,1,1
0.102972200,1,1,1,1
0.104180200,0,1,1,1
0.104403100,0,1,1,0
0.104572100,0,1,0,0
0.105531500,0,0,0,0
0.106739300,0,1,0,0
0.106846300,0,1,1,0
0.107073200,0,1,1,1
0.107176300,1,1,1,1
0.108066100,0,1,1,1
0.108601500,1,1,1,1
0.109132300,1,1,1,0
0.109184300,1,0,1,0
0.109786900,1,0,0,0
0.109934000,1,0,0,1
0.109980600,1,1,0,1
0.110148300,1,1,0,0
0.110354800,0,1,0,0
0.111317600,0,1,0,1
0.111425400,0,0,0,1
0.111460200,0,1,0,1
0.111633100,0,1,1,1
0.112883900,0,1,1,0
0.112922200,0,0,1,0
0.113371400,1,0,1,0
0.113496700,1,1,1,0
0.113584000,1,1,0,0
0.113797000,0,1,0,0
0.114598300,1,1,0,0
0.114741300,1,0,0,0
0.114888900,1,0,0,1
0.115380000,1,0,0,0
0.115694300,1,0,1,0
0.116100500,0,0,1,0
0.116988700,0,1,1,0
0.117024400,1,1,1,0
0.117211200,1,1,1,1
0.118019600,1,1,0,1
0.118243500,0,1,0,1
0.118411800,0,1,0,0
0.118684800,0,0,0,0
0.119610300,0,0,1,0
0.120316900,0,0,0,0
0.120857200,0,0,1,0
0.121130200,0,0,1,1
0.121330300,0,1,1,1
0.121510900,1,1,1,1
0.121793600,0,1,1,1
0.121813900,1,1,1,1
0.123146500,1,1,0,1
0.123287600,1,1,1,1
0.123559900,1,1,1,0
0.124000300,1,0,1,0
0.124352900,1,0,1,1
0.124472700,1,1,1,1
0.124822800,0,1,1,1
0.124854000,0,1,1,0
0.125305100,0,1,1,1
0.125747000,1,1,1,1
