name,type,start_time,duration
"Test Analyzer","error",0.0023265,0.0024389
"Test Analyzer","error",0.0074132,0.0002215
"Test Analyzer","error",0.0105627,0.000969
"Test Analyzer","error",0.0139759,0.0004406
"Test Analyzer","error",0.0155125,0.0013696
"Test Analyzer","error",0.0177317,0.0006017
"Test Analyzer","error",0.0190242,0.0009896
"Test Analyzer","error",0.0228028,0.000548
"Test Analyzer","error",0.0245437,0.0009076
"Test Analyzer","enable",0.0273257,0.0000001
"Test Analyzer","disable",0.028414,0.0000001
"Test Analyzer","error",0.0289901,0.0023589
"Test Analyzer","error",0.0329476,0.0004223
"Test Analyzer","error",0.0344362,0.0015339
"Test Analyzer","error",0.0387824,0.000218
"Test Analyzer","error",0.0405523,0.0014026
"Test Analyzer","error",0.0427626,0.0026262
"Test Analyzer","error",0.0460079,0.0007017
"Test Analyzer","enable",0.0489811,0.0000001
"Test Analyzer","disable",0.0517045,0.0000001
"Test Analyzer","enable",0.0531426,0.0000001
"Test Analyzer","disable",0.0532991,0.0000001
"Test Analyzer","error",0.0554053,0.0019511
"Test Analyzer","error",0.0590304,0.0006673
"Test Analyzer","error",0.0626232,0.0031148
"Test Analyzer","error",0.0669415,0.0016421
"Test Analyzer","error",0.0695054,0.0029713
"Test Analyzer","enable",0.0749311,0.0000001
"Test Analyzer","disable",0.0760463,0.0000001
"Test Analyzer","error",0.0783101,0.0015622
"Test Analyzer","enable",0.0831398,0.0000001
"Test Analyzer","disable",0.0834996,0.0000001
"Test Analyzer","error",0.0843899,0.0031203
"Test Analyzer","error",0.089482,0.000406
"Test Analyzer","error",0.0917,0.0011055
"Test Analyzer","enable",0.0950841,0.0000001
"Test Analyzer","disable",0.0982645,0.0000001
"Test Analyzer","error",0.1005002,0.0010757
"Test Analyzer","error",0.1045721,0.0022743
"Test Analyzer","enable",0.1097869,0.0000001
"Test Analyzer","disable",0.1116331,0.0000001
"Test Analyzer","error",0.113584,0.0021104
"Test Analyzer","error",0.1180196,0.0015908
"Test Analyzer","enable",0.1203169,0.0000001
"Test Analyzer","disable",0.1208572,0.0000001
"Test Analyzer","error",0.1231465,0.0001412
"Test Analyzer","enable",0.126421,0.0000001
"Test Analyzer","disable",0.1272488,0.0000001
"Test Analyzer","error",0.1293163,0.0022463
"Test Analyzer","enable",0.1316356,0.0000001
"Test Analyzer","disable",0.1334645,0.0000001
"Test Analyzer","error",0.1351135,0.0031153
"Test Analyzer","error",0.1407051,0.0010925
"Test Analyzer","enable",0.1423867,0.0000001
"Test Analyzer","disable",0.1454422,0.0000001
"Test Analyzer","error",0.1455133,0.0025568
"Test Analyzer","error",0.1490355,0.0006406
"Test Analyzer","enable",0.1500473,0.0000001
"Test Analyzer","disable",0.1509049,0.0000001
"Test Analyzer","enable",0.152252,0.0000001
"Test Analyzer","disable",0.1530899,0.0000001
"Test Analyzer","enable",0.1543294,0.0000001
"Test Analyzer","disable",0.155743,0.0000001
"Test Analyzer","error",0.1588008,0.0028696
"Test Analyzer","error",0.1628326,0.0010757
"Test Analyzer","error",0.1645841,0.0010289
"Test Analyzer","error",0.1658164,0.0002196
"Test Analyzer","error",0.1673667,0.0000988
"Test Analyzer","enable",0.1705091,0.0000001
"Test Analyzer","disable",0.1730597,0.0000001
"Test Analyzer","enable",0.1738663,0.0000001
"Test Analyzer","disable",0.174825,0.0000001
"Test Analyzer","enable",0.1765506,0.0000001
"Test Analyzer","disable",0.1791946,0.0000001
"Test Analyzer","enable",0.1818228,0.0000001
"Test Analyzer","disable",0.1830448,0.0000001
"Test Analyzer","enable",0.1837803,0.0000001
"Test Analyzer","disable",0.1843272,0.0000001
"Test Analyzer","enable",0.1849298,0.0000001
"Test Analyzer","disable",0.1869324,0.0000001
"Test Analyzer","enable",0.1883149,0.0000001
"Test Analyzer","disable",0.1895966,0.0000001
"Test Analyzer","error",0.1897615,0.0014182
"Test Analyzer","error",0.191831,0.0032748
"Test Analyzer","error",0.1974141,0.0021389
"Test Analyzer","error",0.199673,0.0011215
"Test Analyzer","enable",0.2040386,0.0000001
