FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.04,0.004,27.490899432242664,42.65108304162782,27.736864211732495,0.7701171874999999
0.04,0.005,18.00982618981244,20.637913053196026,26.17392334831761,0.7701171874999999
0.04,0.008888888888888889,25.34312048142834,28.690046349887265,31.96006777843278,0.7701171874999999
0.04,0.012777777777777779,29.417849245115413,35.158823393572675,34.858804220609144,0.7701171874999999
0.04,0.013000000000000001,29.575533850194645,35.729146956866515,34.99296901735866,0.7701171874999999
0.04,0.016666666666666666,30.078071352444162,35.44484545926683,35.62981551078119,0.7701171874999999
0.04,0.020555555555555556,32.30656285682823,37.0486891620668,37.81121352686637,0.7701171874999999
0.04,0.022000000000000002,33.245543133658686,39.70329693675369,38.6580903951975,0.7701171874999999
0.04,0.024444444444444446,34.51942851258461,41.17885950479331,39.68691617341473,0.7701171874999999
0.04,0.028333333333333335,35.65637628875683,42.3663033986178,40.71243445524556,0.7701171874999999
0.04,0.031000000000000003,36.74800350349876,46.35893553038375,40.21451175102005,0.7701171874999999
0.04,0.03222222222222222,37.09261196886387,45.428070077385115,40.537763658246455,0.7701171874999999
0.04,0.036111111111111115,37.75819567414703,43.66307814889646,41.284523916946966,0.7701171874999999
0.04,0.04,37.49814981342597,41.07686916370003,42.03294338694495,0.7701171874999999
0.04,0.04,37.49814981342597,41.07686916370003,42.03294338694495,0.7701171874999999
0.04,0.044000000000000004,25.9018819562476,30.519467962198036,42.34101094605084,0.7701171874999999
0.05,0.004,27.788289988171634,45.389604137193146,27.968253568006606,0.755078125
0.05,0.005,29.82017443337876,51.950473604624214,29.95734806177984,0.755078125
0.05,0.010000000000000002,33.379186884432514,38.69602713307429,35.66827384027568,0.755078125
0.05,0.013000000000000001,36.18740644912784,45.65198448883834,37.92341251214708,0.755078125
0.05,0.015000000000000003,37.613311985765044,47.263640385241914,39.30370354143685,0.755078125
0.05,0.020000000000000004,39.79823368276587,48.10325368926628,41.627998636643525,0.755078125
0.05,0.022000000000000002,39.67333268431966,46.75476035339894,41.84261904830529,0.755078125
0.05,0.025000000000000005,41.396093599900226,51.04601512325287,43.05797351668572,0.755078125
0.05,0.030000000000000006,43.135803686289506,52.66945724904072,44.69152816235944,0.755078125
0.05,0.031000000000000003,43.11671761564904,51.49047975319304,44.734603385416946,0.755078125
